2021-09-28 17:30:26,528 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.kosmo:k11tiles:1.0.0-BUILD-SNAPSHOT @ C:\Users\user\Desktop\스프링10일차-최종(82기완료)\K11Tiles\pom.xml.
2021-09-28 17:30:42,272 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.kosmo:k11geolocationmaps:1.0.0-BUILD-SNAPSHOT @ C:\Users\user\Desktop\스프링10일차-최종(82기완료)\K11GeoLocationMaps\pom.xml.
2021-09-28 17:30:42,895 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.3 is missing, no dependency information available
2021-09-28 17:30:43,364 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.3 is missing, no dependency information available
2021-09-28 17:30:45,962 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-28 17:30:46,018 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-09-28 17:30:46,134 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-28 17:30:46,183 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-09-28 17:30:47,879 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.kosmo:k11jdbctemplate:1.0.0-BUILD-SNAPSHOT @ C:\Users\user\Desktop\스프링10일차-최종(82기완료)\K11JDBCTemplate\pom.xml.
2021-09-28 17:30:52,537 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-28 17:30:52,543 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
